address	vendor
A0F9B7	Ademco Smart Homes Technology(Tianjin)
0007FC	Adept Systems
0010EA	ADEPT TECHNOLOGY
00026D	Adept Telecom
A0341B	Adero
00219D	Adesys BV
0018B2	ADEUNIS RF
24EC51	ADF Technologies Sdn Bhd
1064E2	ADFweb.com s.r.l
0010A9	ADHOC TECHNOLOGIES
0018E5	Adhoco AG
0008A2	ADI Engineering
00307C	ADID SA
0018A5	ADigit Technologies Corp
000EE6	Adimos Systems
000B55	ADInstruments
00145F	ADITEC CO.
2818FD	Aditya Infotech
5C3548	Aditya Infotech
EC42F0	ADL Embedded Solutions
B0C128	Adler ELREHA GmbH
003064	ADLINK TECHNOLOGY
00E092	ADMTEK INCORPORATED
4C0A3D	ADNACOM
004018	ADOBE SYSTEMS
0005EF	ADOIR Digital Technology
80427C	Adolf Tedsen GmbH & Co. KG
0024AD	Adolf Thies Gmbh & Co. KG
F46ABC	Adonit Corp.
000E87	adp Gauselmann GmbH
000071	ADRA SYSTEMS
148A70	ADS GmbH
0050C5	ADS Technologies
001892	ads-tec GmbH
008057	ADSOFT
DCEE14	ADT Technology
000229	Adtec Corporation
00901F	ADTEC PRODUCTIONS
003075	ADTECH
00017E	ADTEK System Science Co.
CC6618	Adtran
00A0C8	Adtran
844D4C	Adtran
00014F	Adtran
002445	Adtran
205F3D	Adtran
38F8F6	Adtran
AC139C	Adtran
5422E0	Adtran
28D0CB	Adtran
AC51EE	Adtran
001992	Adtran
000630	Adtranz Sweden
00270B	Adura Technologies
C81E8E	ADV Security (S) Pte
70BDD2	Adva Network Security GmbH
B838EF	ADVA Optical Networking
18BC57	ADVA Optical Networking
00D08B	ADVA Optical Networking
84C807	ADVA Optical Networking
000B90	ADVA Optical Networking
289AF7	ADVA Optical Networking
0080EA	ADVA Optical Networking
305DA6	ADVALY SYSTEM
5C1515	ADVAN
00C0A0	ADVANCE MICRO RESEARCH
906C4B	Advance Security Electronics
001289	Advance Sterilization Products
3C83B5	Advance Vision Electronics Co.
0012B3	Advance Wireless Technology Corp
EC5B73	Advanced & Wise Technology Corp
E8481F	Advanced Automotive Antennas
00232F	Advanced Card Systems
0003D5	Advanced Communications Co.
002090	ADVANCED COMPRESSION TECHNOLOGY
00207D	ADVANCED COMPUTER APPLICATIONS
080003	ADVANCED COMPUTER COMM
0060F4	ADVANCED COMPUTER SOLUTIONS
002142	Advanced Control Systems doo
001066	ADVANCED CONTROL SYSTEMS
0012CE	Advanced Cybernetics Group
E016B1	Advanced Design Technology
1466B7	Advanced Design Technology Pty
686359	Advanced Digital Broadcast SA
C477AF	Advanced Digital Broadcast SA
2083F8	Advanced Digital Broadcast SA
000391	Advanced Digital Broadcast
00088F	ADVANCED DIGITAL TECHNOLOGY
001C8F	Advanced Electronic Design
000B47	Advanced Energy
009077	ADVANCED FIBRE COMMUNICATIONS
005074	ADVANCED HI-TECH CORP
0022FE	Advanced Illumination
0015B2	Advanced Industrial Computer
0080B0	ADVANCED INFORMATION
00C051	ADVANCED INTEGRATION RESEARCH
001FF9	Advanced Knowledge Associates
00C00D	ADVANCED LOGIC RESEARCH
00001A	ADVANCED MICRO DEVICES
74272C	Advanced Micro Devices
B0E97E	Advanced Micro Peripherals
581D91	Advanced Mobile Telecom
001384	Advanced Motion Controls
2046F9	Advanced Network Devices (dba:AND)
90507B	Advanced PANMOBIL Systems GmbH & Co. KG
00A07A	ADVANCED PERIPHERALS TECHNOLOGIES
B8DAF7	Advanced Photonics
0022F5	Advanced Realtime Tracking GmbH
001C5A	Advanced Relay Corporation
3497FB	ADVANCED RF TECHNOLOGIES
000218	Advanced Scientific Corp
001A18	Advanced Simulation Technology
0026EB	Advanced Spectrum Technology Co.
009026	ADVANCED SWITCHING COMMUNICATIONS
000541	Advanced Systems Co.
0040DB	ADVANCED TECHNICAL SOLUTIONS
A007B6	Advanced Technical Support
00307A	Advanced Technology & Systems
00C0FB	ADVANCED TECHNOLOGY LABS
00120D	Advanced Telecommunication Technologies
00202B	ADVANCED TELECOMMUNICATIONS MODULES
000979	Advanced Television Systems Committee
0024A7	Advanced Video Communications
70A41C	Advanced Wireless Dynamics S.L
E85659	Advanced-Connectek
00E095	ADVANCED-VISION TECHNOLGIES CORP
001071	ADVANET
082522	ADVANSEE
00190F	Advansus Corp
00E03C	AdvanSys
00D0E9	Advantage Century Telecommunication Corp
E438F2	Advantage Controls
541FD5	Advantage Electronics
F06130	Advantage Pharmacy Services, LLC
0017DE	Advantage Six
000E02	Advantech AMT
74FE48	ADVANTECH CO.
00D0C9	ADVANTECH CO.
001453	ADVANTECH TECHNOLOGIES
000BAB	Advantech Technology (CHINA) Co.
C400AD	Advantech Technology (CHINA) Co.
CC827F	Advantech Technology (CHINA) Co.
701AED	ADVAS CO.
000696	Advent Networks
001EED	Adventiq
78A183	Advidia
7CBD06	AE REFUsol
F89173	AEDLE SAS
0026E5	AEG Power Solutions
001657	Aegate
0020BF	AEHR TEST SYSTEMS
000B25	Aeluros
00147D	Aeon Digital International
004019	AEON SYSTEMS
B802A4	Aeonsemi
04E2F8	AEP Ticketing solutions srl
000E30	AERAS Networks
001C22	Aeris Elettronica s.r.l
005067	AEROCOMM
000930	AeroConcierge
2C1EEA	AERODEV
6C4A74	AERODISK LLC
005031	AEROFLEX LABORATORIES
001855	Aeromaritime Systembau GmbH
000BD1	Aeronix
002123	Aerosat Avionics
000CCC	Aeroscout
F41399	Aerospace new generation communications
001189	Aerotech
000F91	Aerotelecom
001AF9	AeroVIronment (AV Inc)
3CC12C	AES Corporation
080080	AES DATA
2087AC	AES motomation
00A062	AES PRODATA
0011BF	AESYS S.p.A
000384	AETA
001597	AETA AUDIO SYSTEMS
002530	Aetas Systems
688DB6	AETEK
9CFCD1	Aetheris Technology (Shanghai) Co.
18DFC1	Aetheros
00D0D6	AETHRA TELECOMUNICAZIONI
94DC4E	AEV, spol. s r. o
00143D	Aevoe
000D48	AEWIN Technologies Co.
000D94	AFAR Communications
000D7D	Afco Systems
00405F	AFE COMPUTERS
EC570D	AFE
581CBD	Affinegy
001B04	Affinity International S.p.a
78223D	Affirmed Networks
002260	AFREEY
0023FD	AFT Atlas Fahrzeugtechnik GmbH
0017B3	Aftek Infosys Limited
407496	aFUN TECHNOLOGY
6499A0	AG Elektronik AB
0024A9	Ag Leader Technology
00017C	AG-E GmbH
C8D1D1	AGAiT Technology Corporation
001A47	Agami Systems
001D0E	Agapha Technology co.
0012E3	Agat Soft LLC
B4BA02	Agatel
00022D	Agere Systems
00053D	Agere Systems
080066	AGFA Corporation
000BCF	AGFA NDT
000940	AGFEO GmbH & Co. KG
0025B8	Agile Communications
0020B6	AGILE NETWORKS
000B0C	Agile Systems
000557	Agile TV Corporation
6843D7	Agilecom Photonics Solutions Guangdong Limited
8091C0	AgileMesh
0030D3	Agilent Technologies
000443	Agilent Technologies
00805C	AGILIS Corporation
00C029	Aginode Germany GmbH
9CF86B	AgiTech Distribution Limited - Linki
74943D	AgJunction
000B91	Aglaia Gesellschaft für Bildverarbeitung und Kommunikation mbH
0C8A87	AgLogica Holdings
0C5203	AGM GROUP LIMITED
98A878	Agnigate Technologies Private Limited
74C64A	AGOS
0011BE	AGP Telecom Co.
0090B3	AGRANAT SYSTEMS
D881CE	AHN
001BE2	AhnLab
6C97AA	AI TECHNOLOGY
001137	AICHI ELECTRIC CO.
CCD811	Aiconn Technology Corporation
5C15E1	AIDC TECHNOLOGY (S) PTE
18314F	AIDIN ROBOTICS
44962B	Aidon Oy
0006DF	AIDONIC Corporation
CCA614	AIFA TECHNOLOGY CORP
50695A	AiFamous（shenzhen）Technology
807933	Aigentec Technology(Zhejiang) Co.
000978	AIJI System Co.
000CAE	Ailocom Oy
087999	AIM GmbH
0014E6	AIM Infrarotmodule GmbH
00D020	AIM SYSTEM
FC1499	Aimore Acoustics InCorporation
000F25	AimValley B.V
000D2F	AIN Comm.Tech.Co.
501408	AiNET
6C22AB	Ainsworth Game Technology
0025AB	AIO LCD PC BU / TPV
001DC4	AIOI Systems Co.
001A36	Aipermon GmbH & Co. KG
000BAA	Aiphone
044AC6	Aipon Electronics Co.
000A9A	Aiptek International
0002A8	Air Link Technology
00075A	Air Products and Chemicals
003969	Air-Weigh Incorporated
001E77	Air2App
000B0D	Air2U
001F35	AIR802 LLC
0014ED	Airak
0011F8	AIRAYA Corp
0023B9	Airbus Defence and Space Deutschland GmbH
A0EB76	AirCUVE
00165D	AirDefense
0026FB	AirDio Wireless
0CCC26	Airenetworks
001948	AireSpider Networks
0050DF	AirFiber
000BC8	AirFlow Networks
